player,match_id,competition_id,season_id,minutes_played,matches_played,passes,completed_passes,key_passes,assists,shots,shots_on_target,goals,xG,xA,dribbles,dribbles_successful,tackles,tackles_won,interceptions,clearances,blocks,aerial_duels,aerial_duels_won,pressures,fouls_committed,fouls_won,cards_yellow,cards_red,saves,clean_sheets,goals_conceded
Thierry Henry,3749052,2,44,91,1,40,0,0,1,3,3,1,0.342808968,0,11,5,0,0,1,0,4,0,0,14,1,3,0,0,0,0,0
Dennis Bergkamp,3749052,2,44,55,1,22,0,0,1,3,3,1,0.35975789,0,0,0,0,0,0,0,1,0,0,9,3,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749052,2,44,91,1,72,0,0,0,1,0,0,0.036047563,0,2,0,0,0,3,2,3,0,0,19,3,3,0,0,0,0,0
Ashley Cole,3749052,2,44,91,1,68,0,1,0,1,0,0,0.10293813,0,3,1,0,0,2,6,1,0,0,9,0,0,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749052,2,44,92,1,42,0,0,0,1,0,0,0.043912165,0,1,1,0,0,1,6,3,0,0,3,0,1,0,0,0,0,0
Lee Naylor,3749052,2,44,89,1,53,0,0,0,1,0,0,0.03855713,0,1,1,0,0,1,3,1,0,0,10,0,1,0,0,0,0,0
Paul Jones,3749052,2,44,91,1,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Rae,3749052,2,44,87,1,39,0,0,0,1,0,0,0.021412788,0,0,0,0,0,0,2,2,0,0,29,6,4,0,0,0,0,0
Denis Irwin,3749052,2,44,91,1,46,0,0,0,3,0,0,0.118036224,0,0,0,0,0,0,2,3,0,0,18,1,2,0,0,0,0,0
Colin Cameron,3749052,2,44,89,1,37,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,2,0,0,43,3,2,0,0,0,0,0
Paul Butler,3749052,2,44,89,1,27,0,0,0,1,0,0,0.06522111,0,0,0,0,0,2,8,1,0,0,5,0,0,0,0,0,0,0
Carl Cort,3749052,2,44,75,1,22,0,0,0,1,1,0,0.05153607,0,3,3,0,0,0,1,1,0,0,6,3,3,0,0,0,0,0
Kenny Miller,3749052,2,44,91,1,27,0,0,0,2,0,0,0.0331482794,0,3,2,0,0,0,3,1,0,0,15,2,1,0,0,0,0,0
Jody Craddock,3749052,2,44,85,1,15,0,1,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,6,1,1,0,0,0,0,0
Kolo Habib Touré,3749052,2,44,91,1,38,0,0,1,1,1,1,0.85131276,0,1,0,0,0,3,5,1,0,0,9,3,2,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749052,2,44,91,1,84,0,0,0,0,0,0,0.0,0,4,3,0,0,1,4,3,0,0,9,3,2,0,0,0,0,0
Patrick Vieira,3749052,2,44,92,1,60,0,1,0,0,0,0,0.0,0,1,0,0,0,0,2,2,0,0,23,5,4,0,0,0,0,0
Jens Lehmann,3749052,2,44,89,1,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Robert Pirès,3749052,2,44,91,1,64,0,1,0,0,0,0,0.0,0,6,3,0,0,0,0,0,0,0,14,2,3,0,0,0,0,0
Gilberto Aparecido da Silva,3749052,2,44,91,1,55,0,0,0,1,0,0,0.12560369,0,2,2,0,0,0,0,5,0,0,17,0,2,0,0,0,0,0
Ioan Viorel Ganea,3749052,2,44,91,1,21,0,0,1,3,1,1,0.3471165669999999,0,3,1,0,0,1,0,1,0,0,46,5,5,0,0,0,0,0
Mark Kennedy,3749052,2,44,89,1,36,0,0,0,1,0,0,0.026652494,0,1,0,0,0,0,1,1,0,0,20,2,1,0,0,0,0,0
José Antonio Reyes Calderón,3749052,2,44,90,1,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0
Steffen Iversen,3749052,2,44,91,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Henri Camara,3749522,2,44,85,1,29,0,0,0,1,0,0,0.023858244,0,2,2,0,0,2,1,1,0,0,24,1,2,0,0,0,0,0
Kenny Miller,3749522,2,44,76,1,27,0,0,0,1,1,0,0.26727,0,2,1,0,0,1,2,1,0,0,3,0,1,0,0,0,0,0
Colin Cameron,3749522,2,44,91,1,37,0,0,0,1,1,0,0.008235074,0,1,1,0,0,3,2,2,0,0,26,2,2,0,0,0,0,0
Lee Naylor,3749522,2,44,91,1,44,0,0,0,1,0,0,0.011188577,0,0,0,0,0,1,5,2,0,0,13,6,2,0,0,0,0,0
Kolo Habib Touré,3749522,2,44,92,1,79,0,0,0,0,0,0,0.0,0,4,4,0,0,0,5,2,0,0,7,0,1,0,0,0,0,0
Paul Ince,3749522,2,44,91,1,35,0,0,0,1,0,0,0.07628197,0,2,1,0,0,1,0,1,0,0,3,2,3,0,0,0,0,0
Ray Parlour,3749522,2,44,90,1,75,0,0,0,1,1,0,0.020648506,0,1,0,0,0,2,1,1,0,0,19,3,5,0,0,0,0,0
Mark Kennedy,3749522,2,44,92,1,29,0,0,0,1,0,0,0.02152702,0,1,1,0,0,0,2,3,0,0,14,2,2,0,0,0,0,0
Jens Lehmann,3749522,2,44,91,1,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Cygan,3749522,2,44,91,1,66,0,0,0,0,0,0,0.0,0,2,1,0,0,1,9,2,0,0,11,0,0,0,0,0,0,0
Thierry Henry,3749522,2,44,88,1,46,0,0,2,5,4,2,0.424216701,0,7,5,0,0,0,1,1,0,0,5,1,1,0,0,0,0,0
Oleg Luzhny,3749522,2,44,90,1,47,0,0,0,0,0,0,0.0,0,0,0,0,0,3,1,0,0,0,8,1,0,0,0,0,0,0
Patrick Vieira,3749522,2,44,91,1,87,0,1,0,0,0,0,0.0,0,4,4,0,0,0,0,1,0,0,34,5,4,0,0,0,0,0
Robert Pirès,3749522,2,44,71,1,34,0,0,0,1,0,0,0.03428903,0,2,1,0,0,0,0,2,0,0,10,0,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749522,2,44,90,1,50,0,0,0,2,0,0,0.153833336,0,1,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0
Fredrik Ljungberg,3749522,2,44,71,1,39,0,0,0,1,0,0,0.08716674,0,1,0,0,0,0,0,1,0,0,13,2,4,0,0,0,0,0
Gaël Clichy,3749522,2,44,91,1,64,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,3,0,0,29,1,0,0,0,0,0,0
Alex Rae,3749522,2,44,90,1,50,0,0,0,0,0,0,0.0,0,0,0,0,0,4,1,2,0,0,33,4,2,0,0,0,0,0
Dennis Bergkamp,3749522,2,44,91,1,60,0,0,0,4,3,0,0.231935435,0,4,3,0,0,1,0,0,0,0,13,0,3,0,0,0,0,0
Jody Craddock,3749522,2,44,87,1,18,0,0,0,1,0,0,0.19786966,0,0,0,0,0,2,3,5,0,0,10,1,0,0,0,0,0,0
Paul Butler,3749522,2,44,91,1,15,0,0,0,0,0,0,0.0,0,0,0,0,0,1,11,0,0,0,5,2,0,0,0,0,0,0
Michael Oakes,3749522,2,44,92,1,27,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749522,2,44,91,1,11,0,1,0,1,0,0,0.032320082,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0
Jérémie Aliadière,3749522,2,44,91,1,5,0,0,0,1,0,0,0.027866354,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
Shaun Newton,3749522,2,44,88,1,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dean Sturridge,3749522,2,44,91,1,2,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
José Antonio Reyes Calderón,3749246,2,44,77,1,18,0,1,0,1,1,0,0.22808835,0,4,0,0,0,0,0,1,0,0,13,2,3,0,0,0,0,0
Thierry Henry,3749246,2,44,92,1,26,0,0,1,8,4,1,0.4142667287,0,3,1,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749246,2,44,91,1,34,0,0,0,1,1,0,0.107103646,0,3,2,0,0,1,2,1,0,0,8,1,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749246,2,44,87,1,20,0,0,0,1,0,0,0.07371769,0,0,0,0,0,1,10,1,0,0,8,2,0,0,0,0,0,0
Gaël Clichy,3749246,2,44,91,1,45,0,0,0,0,0,0,0.0,0,2,1,0,0,6,9,4,0,0,16,1,0,0,0,0,0,0
Gary Neville,3749246,2,44,91,1,65,0,0,0,0,0,0,0.0,0,4,4,0,0,0,5,3,0,0,11,4,0,0,0,0,0,0
Mikaël Silvestre,3749246,2,44,92,1,32,0,0,0,0,0,0,0.0,0,0,0,0,0,1,8,0,0,0,16,3,0,0,0,0,0,0
John O''Shea,3749246,2,44,92,1,56,0,0,0,0,0,0,0.0,0,1,1,0,0,0,7,3,0,0,8,0,1,0,0,0,0,0
Kolo Habib Touré,3749246,2,44,92,1,24,0,0,0,0,0,0,0.0,0,0,0,0,0,1,10,1,0,0,11,1,0,0,0,0,0,0
Roy Keane,3749246,2,44,92,1,62,0,0,0,4,1,0,0.2981979059999999,0,0,0,0,0,0,5,5,0,0,13,2,2,0,0,0,0,0
Eric Daniel Djemba-Djemba,3749246,2,44,58,1,19,0,0,0,1,1,0,0.03400667,0,4,4,0,0,0,1,2,0,0,13,2,3,0,0,0,0,0
Jens Lehmann,3749246,2,44,90,1,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749246,2,44,91,1,39,0,0,0,2,0,0,0.0952052746,0,4,3,0,0,1,1,0,0,0,16,2,2,0,0,0,0,0
Robert Pirès,3749246,2,44,85,1,62,0,0,0,2,0,0,0.042306927,0,4,4,0,0,0,1,2,0,0,12,0,5,0,0,0,0,0
Patrick Vieira,3749246,2,44,92,1,33,0,0,0,0,0,0,0.0,0,2,1,0,0,1,2,2,0,0,29,4,2,0,0,0,0,0
Darren Fletcher,3749246,2,44,71,1,41,0,0,0,0,0,0,0.0,0,4,2,0,0,0,0,1,0,0,20,1,0,0,0,0,0,0
Ryan Giggs,3749246,2,44,91,1,38,0,0,0,0,0,0,0.0,0,10,5,0,0,2,0,0,0,0,15,2,0,0,0,0,0,0
Paul Scholes,3749246,2,44,88,1,52,0,0,0,3,0,0,0.136619972,0,1,1,0,0,1,0,4,0,0,20,3,2,0,0,0,0,0
Wes Brown,3749246,2,44,91,1,28,0,0,0,1,0,0,0.21053152,0,0,0,0,0,0,10,3,0,0,17,3,2,0,0,0,0,0
Roy Carroll,3749246,2,44,91,1,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Fredrik Ljungberg,3749246,2,44,81,1,12,0,0,0,3,2,0,0.48636372,0,3,1,0,0,1,0,4,0,0,12,2,3,0,0,0,0,0
Ruud van Nistelrooy,3749246,2,44,92,1,20,0,0,0,1,1,0,0.12195013,0,2,2,0,0,1,0,0,0,0,11,1,3,0,0,0,0,0
Louis Saha,3749246,2,44,92,1,9,0,0,1,2,1,1,0.318641026,0,2,2,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0
Ole Gunnar Solskjær,3749246,2,44,91,1,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gilberto Aparecido da Silva,3749246,2,44,92,1,9,0,0,0,1,0,0,0.07927194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dennis Bergkamp,3749246,2,44,92,1,3,0,0,0,1,0,0,0.010127371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pascal Cygan,3749246,2,44,92,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paul Dickov,3749257,2,44,85,1,22,0,0,1,1,1,1,0.10283951,0,2,1,0,0,0,0,0,0,0,20,2,4,0,0,0,0,0
Marcus Bent,3749257,2,44,90,1,30,0,0,0,1,0,0,0.007459086,0,6,2,0,0,1,0,0,0,0,11,1,7,0,0,0,0,0
Billy McKinlay,3749257,2,44,90,1,36,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,6,0,0,19,2,1,0,0,0,0,0
Jordan Stewart,3749257,2,44,91,1,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,0,0,9,0,1,0,0,0,0,0
Matt Heath,3749257,2,44,90,1,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,1,0,0,11,1,0,0,0,0,0,0
Ian Walker,3749257,2,44,77,1,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lilian Nalis,3749257,2,44,90,1,38,0,0,0,0,0,0,0.0,0,0,0,0,0,1,3,1,0,0,14,0,1,0,0,0,0,0
Patrick Vieira,3749257,2,44,91,1,116,0,0,1,2,1,1,0.642995219,0,5,0,0,0,0,2,2,0,0,22,4,4,0,0,0,0,0
Dennis Bergkamp,3749257,2,44,82,1,58,0,1,0,2,1,0,0.140418274,0,1,1,0,0,0,0,2,0,0,8,1,0,0,0,0,0,0
Fredrik Ljungberg,3749257,2,44,86,1,41,0,0,0,4,1,0,0.307557087,0,1,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749257,2,44,88,1,67,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0
Kolo Habib Touré,3749257,2,44,91,1,28,0,0,0,2,1,0,0.185491205,0,0,0,0,0,2,5,1,0,0,8,2,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749257,2,44,90,1,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,1,0,0,4,2,1,0,0,0,0,0
Robert Pirès,3749257,2,44,69,1,57,0,0,0,2,1,0,0.072128175,0,3,1,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0
Steffen Freund,3749257,2,44,75,1,22,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,6,3,1,0,0,0,0,0
Frank Mohammed Sinclair,3749257,2,44,90,1,48,0,1,0,0,0,0,0.0,0,1,1,0,0,2,2,1,0,0,19,3,1,0,0,0,0,0
Ashley Cole,3749257,2,44,91,1,47,0,0,0,1,1,0,0.10399945,0,1,1,0,0,0,6,3,0,0,13,2,3,0,0,0,0,0
Gilberto Aparecido da Silva,3749257,2,44,91,1,97,0,0,0,3,0,0,0.047448263,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0
James Scowcroft,3749257,2,44,89,1,28,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,4,0,0,9,3,1,0,0,0,0,0
Thierry Henry,3749257,2,44,91,1,58,0,0,1,6,3,1,0.93429702,0,9,4,0,0,1,1,2,0,0,10,1,3,0,0,0,0,0
Nikos Dabizas,3749257,2,44,89,1,18,0,0,0,0,0,0,0.0,0,0,0,0,0,1,8,3,0,0,14,2,0,0,0,0,0,0
Jens Lehmann,3749257,2,44,91,1,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eduardo César Daude Gaspar,3749257,2,44,90,1,16,0,0,0,1,0,0,0.10189218,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Paul Brooker,3749257,2,44,86,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Danny Coyne,3749257,2,44,88,1,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Antonio Reyes Calderón,3749257,2,44,90,1,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Martin Keown,3749257,2,44,91,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Benjamin,3749257,2,44,90,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paolo Di Canio,3749642,2,44,92,1,38,0,0,0,2,0,0,0.075395711,0,6,5,0,0,0,0,3,0,0,21,2,1,0,0,0,0,0
Matt Holland,3749642,2,44,93,1,55,0,0,0,1,0,0,0.007056929,0,1,1,0,0,1,3,0,0,0,14,2,1,0,0,0,0,0
Hermann Hreidarsson,3749642,2,44,90,1,48,0,0,0,1,0,0,0.059217956,0,0,0,0,0,1,5,2,0,0,24,4,2,0,0,0,0,0
Carlton Cole Okirie,3749642,2,44,91,1,26,0,0,0,0,0,0,0.0,0,4,3,0,0,0,4,3,0,0,18,3,0,0,0,0,0,0
Graham Stuart,3749642,2,44,91,1,44,0,0,0,3,0,0,0.313341383,0,1,1,0,0,0,1,2,0,0,16,2,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749642,2,44,88,1,75,0,0,0,3,0,0,0.076162765,0,1,0,0,0,1,1,3,0,0,14,1,0,0,0,0,0,0
Patrick Vieira,3749642,2,44,92,1,56,0,1,0,2,1,0,0.41287004,0,1,1,0,0,2,1,5,0,0,20,2,4,0,0,0,0,0
Mark Fish,3749642,2,44,93,1,19,0,0,0,0,0,0,0.0,0,1,1,0,0,2,8,4,0,0,11,0,0,0,0,0,0,0
Jonathan Fortune,3749642,2,44,90,1,18,0,0,0,0,0,0,0.0,0,0,0,0,0,3,7,5,0,0,13,1,0,0,0,0,0,0
Claus Jensen,3749642,2,44,91,1,51,0,0,1,3,1,1,0.1079517797,0,1,1,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749642,2,44,91,1,57,0,0,0,0,0,0,0.0,0,2,0,0,0,0,1,2,0,0,14,1,0,0,0,0,0,0
Dennis Bergkamp,3749642,2,44,73,1,55,0,0,0,4,0,0,0.173888126,0,4,3,0,0,0,0,3,0,0,9,0,2,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749642,2,44,91,1,64,0,0,0,0,0,0,0.0,0,0,0,0,0,1,2,2,0,0,6,0,3,0,0,0,0,0
Thierry Henry,3749642,2,44,93,1,55,0,0,1,5,4,1,0.5058379080000001,0,7,6,0,0,1,1,2,0,0,8,0,1,0,0,0,0,0
Ashley Cole,3749642,2,44,92,1,59,0,0,0,2,0,0,0.076684887,0,1,0,0,0,0,2,1,0,0,10,1,1,0,0,0,0,0
Robert Pirès,3749642,2,44,87,1,74,0,0,1,2,1,1,0.626242577,0,1,1,0,0,1,2,4,0,0,12,1,0,0,0,0,0,0
Kolo Habib Touré,3749642,2,44,91,1,41,0,0,0,0,0,0,0.0,0,0,0,0,0,1,6,0,0,0,10,0,2,0,0,0,0,0
Fredrik Ljungberg,3749642,2,44,73,1,32,0,1,0,1,1,0,0.07287833,0,1,0,0,0,0,0,2,0,0,14,1,4,0,0,0,0,0
Radostin Kishishev,3749642,2,44,77,1,37,0,0,0,1,0,0,0.013958355,0,0,0,0,0,1,0,3,0,0,23,2,0,0,0,0,0,0
Dean Kiely,3749642,2,44,92,1,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luke Young,3749642,2,44,92,1,53,0,0,0,0,0,0,0.0,0,2,2,0,0,0,6,2,0,0,26,1,1,0,0,0,0,0
Jens Lehmann,3749642,2,44,91,1,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Antonio Reyes Calderón,3749642,2,44,93,1,9,0,0,0,1,0,0,0.047530644,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0
Gilberto Aparecido da Silva,3749642,2,44,92,1,9,0,0,0,1,0,0,0.036023647,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Jonatan Lillebror Johansson,3749642,2,44,91,1,1,0,0,0,1,0,0,0.024816774,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Pascal Cygan,3749642,2,44,91,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Malcolm Christie,3749358,2,44,91,1,22,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0,26,1,1,0,0,0,0,0
Szilárd Németh,3749358,2,44,84,1,34,0,0,0,3,1,0,0.283022895,0,6,4,0,0,1,0,0,0,0,18,2,3,0,0,0,0,0
George Boateng,3749358,2,44,91,1,54,0,0,0,1,0,0,0.005954082,0,2,1,0,0,1,1,0,0,0,36,5,2,0,0,0,0,0
Colin Cooper,3749358,2,44,91,1,54,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,2,0,0,16,4,0,0,0,0,0,0
Alan Wright,3749358,2,44,90,1,63,0,0,0,0,0,0,0.0,0,2,2,0,0,0,1,0,0,0,12,0,2,0,0,0,0,0
Dorival Guidoni Júnior,3749358,2,44,91,1,63,0,0,0,2,1,0,0.0148653649999999,0,1,1,0,0,1,0,2,0,0,26,3,1,0,0,0,0,0
Chris Riggott,3749358,2,44,65,1,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gareth Southgate,3749358,2,44,89,1,41,0,0,0,0,0,0,0.0,0,1,1,0,0,1,9,1,0,0,10,1,0,0,0,0,0,0
Stuart Parnaby,3749358,2,44,90,1,48,0,0,0,0,0,0,0.0,0,3,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
Ashley Cole,3749358,2,44,91,1,65,0,0,0,0,0,0,0.0,0,2,2,0,0,2,2,4,0,0,12,0,3,0,0,0,0,0
Gilberto Aparecido da Silva,3749358,2,44,90,1,52,0,0,1,1,1,1,0.11706413,0,0,0,0,0,2,2,1,0,0,29,3,0,0,0,0,0,0
Oswaldo Giroldo Júnior,3749358,2,44,91,1,58,0,0,0,3,2,0,0.0715942481999999,0,14,9,0,0,0,0,0,0,0,30,0,3,0,0,0,0,0
Jens Lehmann,3749358,2,44,91,1,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749358,2,44,91,1,73,0,0,0,1,0,0,0.032263115,0,3,3,0,0,2,1,0,0,0,10,2,6,0,0,0,0,0
Kolo Habib Touré,3749358,2,44,90,1,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,1,0,0,9,0,0,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749358,2,44,91,1,38,0,0,0,1,0,0,0.081230976,0,1,1,0,0,4,6,2,0,0,7,0,0,0,0,0,0,0
Patrick Vieira,3749358,2,44,91,1,73,0,0,0,0,0,0,0.0,0,1,1,0,0,3,0,2,0,0,17,2,2,0,0,0,0,0
Fredrik Ljungberg,3749358,2,44,74,1,45,0,1,0,2,1,0,0.098827241,0,2,2,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0
Thierry Henry,3749358,2,44,91,1,45,0,1,1,6,4,1,1.08354146,0,3,3,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
Sylvain Wiltord,3749358,2,44,74,1,30,0,0,2,3,3,2,1.35136525,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Robert Pirès,3749358,2,44,74,1,63,0,1,0,0,0,0,0.0,0,3,3,0,0,0,1,1,0,0,5,2,1,0,0,0,0,0
Mark Schwarzer,3749358,2,44,90,1,23,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Davies,3749358,2,44,88,1,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749358,2,44,91,1,21,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Dennis Bergkamp,3749358,2,44,91,1,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ray Parlour,3749358,2,44,91,1,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
Stewart Downing,3749358,2,44,91,1,5,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Michael Bridges,3749346,2,44,46,1,22,0,0,0,2,0,0,0.107942341,0,1,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0
Alan Smith,3749346,2,44,91,1,46,0,0,1,4,1,1,0.288004816,0,4,3,0,0,0,1,0,0,0,12,1,4,0,0,0,0,0
David Batty,3749346,2,44,92,1,75,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,2,0,0,16,3,0,0,0,0,0,0
Gary Oliver Kelly,3749346,2,44,90,1,73,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749346,2,44,92,1,39,0,0,0,1,0,0,0.088499874,0,0,0,0,0,0,6,3,0,0,12,0,1,0,0,0,0,0
Lamine Sakho,3749346,2,44,59,1,24,0,0,0,2,2,0,0.1313325639999999,0,2,0,0,0,1,0,1,0,0,9,3,1,0,0,0,0,0
Gilberto Aparecido da Silva,3749346,2,44,91,1,46,0,0,1,2,1,1,0.14473393,0,1,1,0,0,1,5,1,0,0,36,4,0,0,0,0,0,0
Robert Pirès,3749346,2,44,91,1,56,0,0,1,1,1,1,0.30182838,0,1,1,0,0,1,2,0,0,0,13,0,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749346,2,44,91,1,24,0,1,0,0,0,0,0.0,0,0,0,0,0,0,15,3,0,0,7,2,2,0,0,0,0,0
Jens Lehmann,3749346,2,44,91,1,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thierry Henry,3749346,2,44,91,1,31,0,0,2,4,2,2,1.0227047,0,4,4,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0
Ashley Cole,3749346,2,44,91,1,50,0,1,0,0,0,0,0.0,0,2,1,0,0,5,7,3,0,0,17,1,1,0,0,0,0,0
René Salomon Olembé-Olembé,3749346,2,44,91,1,56,0,0,0,1,0,0,0.027260281,0,6,4,0,0,2,3,2,0,0,17,2,0,0,0,0,0,0
José Vitor Roque Júnior,3749346,2,44,92,1,40,0,0,0,0,0,0,0.0,0,2,2,0,0,1,3,4,0,0,18,1,2,0,0,0,0,0
Jermaine Pennant,3749346,2,44,89,1,42,0,0,0,1,0,0,0.023448583,0,5,2,0,0,2,0,4,0,0,16,0,3,0,0,0,0,0
Seth Johnson,3749346,2,44,90,1,51,0,0,0,1,0,0,0.05291733,0,5,4,0,0,0,0,1,0,0,11,0,2,0,0,0,0,0
Kolo Habib Touré,3749346,2,44,90,1,35,0,0,0,0,0,0,0.0,0,0,0,0,0,1,10,2,0,0,11,2,0,0,0,0,0,0
Zoumana Camara,3749346,2,44,89,1,30,0,0,0,0,0,0,0.0,0,2,2,0,0,1,4,2,0,0,6,1,1,0,0,0,0,0
Paul Robinson,3749346,2,44,86,1,28,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredrik Ljungberg,3749346,2,44,70,1,23,0,0,0,0,0,0,0.0,0,2,2,0,0,0,1,1,0,0,24,2,2,0,0,0,0,0
