player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Nabil Dirar,183,92,0,2,5,0,4,45.24590163934427,0.0,0.9836065573770493,2.459016393442623,0.0,1.9672131147540985
Nabil Fekir,559,40,0,4,9,0,0,6.440071556350626,0.0,0.6440071556350626,1.4490161001788908,0.0,0.0
Nacer Chadli,488,192,0,3,10,0,2,35.40983606557377,0.0,0.5532786885245902,1.8442622950819672,0.0,0.3688524590163934
Nahitan Michel Nández Acosta,371,133,0,1,7,0,0,32.26415094339623,0.0,0.24258760107816715,1.69811320754717,0.0,0.0
Naïm Sliti,239,63,0,6,12,0,2,23.723849372384937,0.0,2.2594142259414225,4.518828451882845,0.0,0.7531380753138076
Nemanja Matić,279,136,0,3,4,0,3,43.87096774193548,0.0,0.9677419354838709,1.2903225806451613,0.0,0.9677419354838709
Nemanja Radonjić,185,11,0,0,1,0,0,5.351351351351352,0.0,0.0,0.4864864864864865,0.0,0.0
Neymar da Silva Santos Junior,470,283,0,27,43,0,0,54.191489361702125,0.0,5.170212765957447,8.23404255319149,0.0,0.0
Nicolai Jørgensen,288,51,0,5,1,0,0,15.9375,0.0,1.5625,0.3125,0.0,0.0
Nicolás Alejandro Tagliafico,356,234,0,4,1,0,3,59.157303370786515,0.0,1.0112359550561798,0.25280898876404495,0.0,0.7584269662921348
Nicolás Hernán Otamendi,370,296,0,6,1,0,5,72.0,0.0,1.4594594594594597,0.24324324324324326,0.0,1.2162162162162162
Niklas Süle,98,86,0,0,0,0,2,78.9795918367347,0.0,0.0,0.0,0.0,1.8367346938775513
Nikola Milenković,280,117,0,0,0,0,2,37.607142857142854,0.0,0.0,0.0,0.0,0.6428571428571428
Nordin Amrabat,264,90,0,1,11,0,2,30.681818181818183,0.0,0.34090909090909094,3.7500000000000004,0.0,0.6818181818181819
Néstor Fernando Muslera Micol,467,106,0,0,1,0,0,20.428265524625267,0.0,0.0,0.19271948608137043,0.0,0.0
Odion Jude Ighalo,260,16,0,5,6,0,1,5.538461538461538,0.0,1.7307692307692308,2.076923076923077,0.0,0.34615384615384615
Oghenekaro Etebo,276,152,0,7,13,0,5,49.565217391304344,0.0,2.282608695652174,4.239130434782608,0.0,1.6304347826086956
Ola Toivonen,405,102,0,5,5,0,0,22.666666666666668,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0
Olivier Giroud,631,132,0,15,5,0,2,18.827258320126784,0.0,2.13946117274168,0.7131537242472267,0.0,0.28526148969889065
Omar Ibrahim Omar Othman Hawsawi,88,58,0,0,1,0,0,59.31818181818182,0.0,0.0,1.0227272727272727,0.0,0.0
Omid Ebrahimi,269,72,0,1,1,0,4,24.08921933085502,0.0,0.3345724907063197,0.3345724907063197,0.0,1.338289962825279
Onyinye Wilfred Ndidi,279,171,0,3,3,0,4,55.16129032258064,0.0,0.9677419354838709,0.9677419354838709,0.0,1.2903225806451613
Oribe Peralta Morones,93,3,0,0,1,0,0,2.9032258064516125,0.0,0.0,0.9677419354838709,0.0,0.0
Osama Abdulrezag Hawsawi,278,132,0,0,0,0,3,42.73381294964029,0.0,0.0,0.0,0.0,0.9712230215827338
Oscar Fabián Murillo Murillo,94,45,0,2,0,0,4,43.08510638297872,0.0,1.9148936170212765,0.0,0.0,3.829787234042553
Oscar Hiljemark,186,9,0,0,0,0,2,4.354838709677419,0.0,0.0,0.0,0.0,0.9677419354838709
Ousmane Dembélé,334,72,0,3,10,0,2,19.40119760479042,0.0,0.8083832335329341,2.6946107784431135,0.0,0.5389221556886228
Oussama Haddadi,91,42,0,0,1,0,1,41.53846153846154,0.0,0.0,0.989010989010989,0.0,0.989010989010989
Papa Alioune N''Diaye,80,22,0,1,1,0,2,24.75,0.0,1.125,1.125,0.0,2.25
Pape Moussa Konaté,185,6,0,0,0,0,0,2.9189189189189193,0.0,0.0,0.0,0.0,0.0
Paul Pogba,557,305,0,7,13,0,5,49.2818671454219,0.0,1.1310592459605027,2.1005385996409336,0.0,0.8078994614003591
Paulo Bruno Exequiel Dybala,93,11,0,1,1,0,0,10.64516129032258,0.0,0.9677419354838709,0.9677419354838709,0.0,0.0
Pedro David Gallese Quiróz,274,68,0,0,0,0,0,22.335766423357665,0.0,0.0,0.0,0.0,0.0
Pedro Jesús Aquino Sánchez,280,104,0,1,0,0,2,33.42857142857143,0.0,0.3214285714285714,0.0,0.0,0.6428571428571428
Phil Jones,182,145,0,0,0,0,4,71.7032967032967,0.0,0.0,0.0,0.0,1.978021978021978
Philippe Coutinho Correia,445,325,0,23,10,0,4,65.73033707865169,0.0,4.651685393258426,2.0224719101123596,0.0,0.8089887640449438
Pione Sisto Ifolo Emirmija,335,87,0,5,16,0,1,23.37313432835821,0.0,1.3432835820895521,4.298507462686567,0.0,0.26865671641791045
Piotr Zieliński,264,162,0,4,10,0,0,55.227272727272734,0.0,1.3636363636363638,3.409090909090909,0.0,0.0
Pontus Jansson,186,59,0,1,0,0,0,28.548387096774192,0.0,0.48387096774193544,0.0,0.0,0.0
Presnel Kimpembe,92,76,0,0,0,0,1,74.34782608695653,0.0,0.0,0.0,0.0,0.9782608695652175
Radamel Falcao García Zárate,378,106,0,9,6,0,0,25.238095238095237,0.0,2.142857142857143,1.4285714285714286,0.0,0.0
Rafael Márquez Álvarez,231,42,0,0,1,0,2,16.363636363636363,0.0,0.0,0.3896103896103896,0.0,0.7792207792207791
Rafał Kurzawa,78,34,0,2,3,0,1,39.230769230769226,0.0,2.3076923076923075,3.4615384615384612,0.0,1.1538461538461537
Ragnar Sigurðsson,222,53,0,0,0,0,5,21.486486486486484,0.0,0.0,0.0,0.0,2.0270270270270268
Raheem Sterling,456,135,0,11,23,0,0,26.644736842105264,0.0,2.1710526315789473,4.5394736842105265,0.0,0.0
Ramadan Sobhi Ramadan Ahmed,276,26,0,0,0,0,0,8.478260869565217,0.0,0.0,0.0,0.0,0.0
Rami Bedoui,93,83,0,0,1,0,1,80.32258064516128,0.0,0.0,0.9677419354838709,0.0,0.9677419354838709
Ramin Rezaeian,277,101,0,1,1,0,1,32.81588447653429,0.0,0.3249097472924188,0.3249097472924188,0.0,0.3249097472924188
Raphaël Adelino José Guerreiro,378,252,0,4,11,0,4,60.0,0.0,0.9523809523809523,2.619047619047619,0.0,0.9523809523809523
Raphaël Varane,647,339,0,4,2,0,5,47.15610510046368,0.0,0.5564142194744977,0.2782071097372488,0.0,0.6955177743431221
Raúl Alonso Jiménez Rodríguez,187,16,0,1,1,0,0,7.7005347593582885,0.0,0.48128342245989303,0.48128342245989303,0.0,0.0
Raúl Mario Ruidíaz Misitich,187,3,0,0,0,0,0,1.443850267379679,0.0,0.0,0.0,0.0,0.0
Renato Fabrizio Tapia Cortijo,148,47,0,1,0,0,2,28.58108108108108,0.0,0.6081081081081081,0.0,0.0,1.2162162162162162
Renato Soares de Oliveira Augusto,278,48,0,3,0,0,1,15.53956834532374,0.0,0.9712230215827338,0.0,0.0,0.3237410071942446
