player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Wojciech Szczęsny,178,42,0,0,0,0,0,21.235955056179776,0.0,0.0,0.0,0.0,0.0
Woo-Young Jung,279,60,0,3,3,0,2,19.35483870967742,0.0,0.9677419354838709,0.9677419354838709,0.0,0.6451612903225806
Wílmar Enrique Barrios Terán,301,126,0,0,3,0,3,37.67441860465116,0.0,0.0,0.8970099667774086,0.0,0.8970099667774086
Xherdan Shaqiri,361,197,0,12,14,0,3,49.11357340720222,0.0,2.9916897506925206,3.490304709141274,0.0,0.7479224376731302
Yann Sommer,378,123,0,0,0,0,0,29.285714285714285,0.0,0.0,0.0,0.0,0.0
Yannick Ferreira Carrasco,324,95,0,6,9,0,1,26.38888888888889,0.0,1.6666666666666665,2.5,0.0,0.2777777777777778
Yasir Gharsan Al Shahrani,272,213,0,5,2,0,2,70.4779411764706,0.0,1.6544117647058825,0.6617647058823529,0.0,0.6617647058823529
Yasser Abdullah Al Mosailem,91,13,0,0,0,0,0,12.857142857142858,0.0,0.0,0.0,0.0,0.0
Yassine Meriah,266,186,0,0,0,0,6,62.932330827067666,0.0,0.0,0.0,0.0,2.0300751879699246
Yehya Sulaiman Ali Al-Shehri,164,60,0,0,3,0,1,32.926829268292686,0.0,0.0,1.6463414634146343,0.0,0.5487804878048781
Yeltsin Ignacio Tejeda Valverde,96,5,0,0,0,0,0,4.6875,0.0,0.0,0.0,0.0,0.0
Yerry Fernando Mina González,304,159,0,3,1,0,4,47.07236842105263,0.0,0.8881578947368421,0.29605263157894735,0.0,1.1842105263157894
Yo-Han Go,98,3,0,0,0,0,0,2.7551020408163267,0.0,0.0,0.0,0.0,0.0
Yohan Benalouane,93,16,0,0,0,0,2,15.483870967741934,0.0,0.0,0.0,0.0,1.9354838709677418
Yong Lee,281,119,0,1,3,0,1,38.11387900355872,0.0,0.3202846975088968,0.9608540925266904,0.0,0.3202846975088968
Yoshinori Muto,81,16,0,2,2,0,1,17.77777777777778,0.0,2.2222222222222223,2.2222222222222223,0.0,1.1111111111111112
Young-Gwon Kim,284,89,0,1,2,0,2,28.204225352112676,0.0,0.31690140845070425,0.6338028169014085,0.0,0.6338028169014085
Young-Sun Yun,88,12,0,0,0,0,0,12.272727272727273,0.0,0.0,0.0,0.0,0.0
Younès Belhanda,231,113,0,6,5,0,1,44.02597402597402,0.0,2.3376623376623376,1.9480519480519478,0.0,0.3896103896103896
Youri Tielemans,354,114,0,4,2,0,2,28.98305084745763,0.0,1.0169491525423728,0.5084745762711864,0.0,0.5084745762711864
Youssef En-Nesyri,94,5,0,1,0,0,0,4.787234042553191,0.0,0.9574468085106382,0.0,0.0,0.0
Youssouf Sabaly,259,118,0,2,7,0,3,41.003861003861005,0.0,0.694980694980695,2.4324324324324325,0.0,1.0424710424710424
Yuri Zhirkov,219,106,0,2,1,0,1,43.561643835616444,0.0,0.8219178082191781,0.4109589041095891,0.0,0.4109589041095891
Yury Gazinskiy,351,126,0,2,0,0,1,32.30769230769231,0.0,0.5128205128205129,0.0,0.0,0.25641025641025644
Yussuf Yurary Poulsen,272,79,0,2,15,0,4,26.139705882352942,0.0,0.6617647058823529,4.963235294117647,0.0,1.3235294117647058
Yuto Nagatomo,371,191,0,2,3,0,4,46.334231805929925,0.0,0.4851752021563343,0.7277628032345014,0.0,0.9703504043126686
Yūya Ōsako,356,78,0,7,4,0,1,19.719101123595504,0.0,1.7696629213483146,1.0112359550561798,0.0,0.25280898876404495
Ángel Fabián Di María Hernández,239,88,0,4,8,0,0,33.13807531380753,0.0,1.5062761506276152,3.0125523012552304,0.0,0.0
Édison Michael Flores Peralta,246,104,0,5,3,0,3,38.048780487804876,0.0,1.829268292682927,1.0975609756097562,0.0,1.0975609756097562
Éver Maximiliano David Banega,275,211,0,3,7,0,3,69.05454545454546,0.0,0.9818181818181819,2.290909090909091,0.0,0.9818181818181819
Óscar Esau Duarte Gaitán,187,83,0,2,2,0,4,39.94652406417112,0.0,0.9625668449197861,0.9625668449197861,0.0,1.9251336898395721
İlkay Gündoğan,96,51,0,1,0,0,0,47.8125,0.0,0.9375,0.0,0.0,0.0
Łukasz Fabiański,88,25,0,0,0,0,0,25.56818181818182,0.0,0.0,0.0,0.0,0.0
Łukasz Piszczek,176,110,0,1,1,0,4,56.25,0.0,0.5113636363636364,0.5113636363636364,0.0,2.0454545454545454
Łukasz Teodorczyk,185,8,0,1,3,0,0,3.891891891891892,0.0,0.4864864864864865,1.4594594594594597,0.0,0.0
Šime Vrsaljko,602,374,0,5,4,0,11,55.91362126245847,0.0,0.7475083056478405,0.5980066445182725,0.0,1.6445182724252492
